Kernel,C,Degree,Gamma,Coef0,Shrinking,Probability,Tol,MaxIter,Accuracy
linear,7.15816852062586,2.739231007770302,0.07813026473974749,0.9783214358128636,0.05888517446850716,0.6541368688702399,0.0010810022776319545,78.83156283338842,0.515625
linear,8.84229961113178,1.4541487702897715,0.2217079281621121,0.938004047029209,0.6281934267322344,0.9196502143793288,0.004740166881371714,990.6771452569112,0.59375
linear,7.919539293356385,4.902679196233191,0.7684939308832888,0.48776994635844295,0.7203947755349259,0.11207881367463868,0.0011755591012367107,637.4140228209666,0.59375
linear,1.5484849163066865,3.2934908188638805,0.5634156595329083,0.8624711223109971,0.9467695305002948,0.8453213754779645,0.0006471583587599731,698.7295842387213,0.59375
linear,0.49795864113306143,4.911984703864277,0.5345560172160091,0.0775591689820112,0.12126053579092888,0.6092635480064478,0.0038885078954417765,376.18935421936925,0.625
linear,3.0311015189062847,1.6262906796458148,0.9730734711747594,0.6748280295121282,0.16526104868769964,0.10292077943567313,0.009898202749400476,42.11207641516635,0.46875
linear,2.657256923565155,3.712330066284843,0.37913148250116324,0.6869635268487368,0.08201221542892123,0.7453077801416582,0.00022039846104149883,298.7150878104409,0.609375
linear,4.116062600730136,1.2829519358105874,0.0872171024203362,0.3232187935067128,0.6996343827122788,0.9551013634912292,0.0018001211884790245,501.21537096267883,0.609375
linear,3.6452177094934566,1.3097245833856164,0.19747144803826938,0.6810732651335574,0.5453234565890108,0.4709473700409176,0.008630108575573768,70.52571967345119,0.46875
linear,0.4157248077119091,2.1091899813552795,0.414672245492566,0.13813877203071356,0.35404171617038516,0.9905261929788567,0.009077119329329471,304.9619810833055,0.625
linear,9.935539624759658,1.6182936100704555,0.8530415284878,0.29194479550538666,0.19604592789013897,0.12548660224745323,0.00023146105178740477,15.578371509490445,0.46875
linear,6.392119555075431,2.0937255362381593,0.5573307438557749,0.016503554685818655,0.5390210781857193,0.12191359110348843,0.007095070110343927,672.1806180459513,0.59375
linear,0.5567440845441674,2.480333759396851,0.0731154639694955,0.4632051998853415,0.6846575726665048,0.07725556984683157,0.005032184987220997,581.5870196511232,0.578125
linear,8.655014114479423,4.410299710934235,0.35830747083495695,0.47819410765504233,0.6911956485076903,0.6020821784621577,0.0030547607578164685,478.23151185156473,0.59375
linear,0.5840909200148978,4.036480247141516,0.8789230664763489,0.6990040625523832,0.18214451480516292,0.7978655385795237,0.0034318287996836527,607.9762428173694,0.578125
linear,4.049647193312985,2.308406243719711,0.6433401388332582,0.3356988729325273,0.7294714504460774,0.5258506475196314,0.005921151846452269,834.7514321591325,0.59375
linear,7.083572541836345,1.551793325580343,0.8609160833282101,0.5996424750000273,0.5345126066065917,0.275313903038908,0.006779006659809375,168.96219936000807,0.609375
linear,9.292111219253663,1.194818619683533,0.6134793354057417,0.14637945210609116,0.18268405752609596,0.7293538027731684,0.007834025933503437,573.9563879205009,0.59375
linear,0.7352492172797348,1.7114615445687904,0.08882080206420144,0.12919353382618182,0.9771578760724322,0.6478457833611274,0.004199611374756425,44.162292983807205,0.515625
linear,1.6007225425411495,1.9775940455661063,0.7158382556208712,0.2955922702180872,0.9846520651362952,0.6113360712993412,0.0027598373022610936,622.2575381080907,0.59375
linear,6.2988530778360765,3.949000709951786,0.3620408452386978,0.3960827612142237,0.6922795034291777,0.27665705100010995,0.00210219242585527,828.9441647471439,0.59375
linear,7.632852035767515,1.947416331530282,0.7427503023954221,0.5185749169891279,0.7652530189711602,0.713031899327046,0.00537361399595763,117.42607169498784,0.609375
linear,5.378786598744479,3.264772710910669,0.07555513511422644,0.7592127925494697,0.49327489167426997,0.9560174218029903,0.006643036321566158,74.7392694878999,0.515625
linear,3.7098305955127384,3.739960682820808,0.31147141192545175,0.35751531976787665,0.11847302895848733,0.33062175863382837,0.009760011844185363,102.20639648431614,0.625
linear,8.506310145882713,1.2894796107708948,0.4387683552547823,0.6366457718486639,0.39271564452456664,0.6159224048281479,0.003729553436775719,894.3966254142223,0.59375
linear,1.8431346610903192,3.1544216765873405,0.6673039834346032,0.003045982464733088,0.40806821083710676,0.5860836015297796,0.0011525724690977653,207.69135696678742,0.640625
linear,5.371005409321915,3.4113736747611054,0.3968404170826458,0.8295824215613932,0.6046105844993753,0.25591532078631096,0.006868062895773629,24.40742169332609,0.4375
linear,3.350875568040711,4.0795406873671265,0.09182506400744762,0.20182836230606116,0.5070907005472876,0.6157777728371819,0.0005480232208317228,416.71112729803554,0.625
linear,2.1583312870725333,3.046446796795051,0.20647146255344093,0.17354848741668683,0.39485234841466754,0.08532098088986961,0.008826310263371938,749.7636065205452,0.59375
linear,9.519724220210602,1.8213348608958961,0.021551731134710272,0.31180893129815157,0.9972650714059084,0.07256003595906524,0.0030015820003726546,699.494641127397,0.59375
linear,9.630478000525278,2.6497418946901097,0.32222043023576,0.7237166035429918,0.2670604629865784,0.9305614253986958,0.006451532987471166,671.3254351632921,0.59375
linear,2.9104684750617533,3.811361440194782,0.001,0.11148024510704947,1.0,0.0,1e-06,90.88698408245251,0.578125
linear,0.1,1.0,0.001,0.4058571620651145,0.0,0.09303759549253918,0.01,228.12415786883318,0.640625
linear,9.697128848383903,1.0,0.001,1.0,1.0,0.0,0.01,234.76576581984503,0.65625
linear,5.556063933167502,3.6368244339899967,0.6797710778915114,0.33166811287373743,0.4380086339222512,0.38207889379484206,0.003042240995357167,254.03626173453858,0.640625
linear,7.966153886853759,4.535356833891262,0.6565323136011326,0.9787764460962474,0.547008960467194,0.7963833969941843,0.0007369552084651209,239.79044846880004,0.640625
linear,10.0,1.0,1.0,1.0,0.0,0.0,1e-06,260.2724736399648,0.65625
linear,10.0,5.0,0.001,1.0,1.0,1.0,0.01,266.44861901864795,0.640625
linear,5.528533269283674,2.556996361998169,0.41729845243586716,0.2761313484056841,0.7431290711322561,0.5117936773860654,0.004847237108571544,217.83406801622422,0.640625
linear,9.797530235705256,1.125837589192979,0.7639361966442242,0.5322796376411673,0.0657398557797122,0.293220803534085,0.007954950461863446,225.84955928649563,0.640625
linear,10.0,5.0,0.001,1.0,1.0,0.0,0.01,209.5217517550666,0.609375
linear,2.2602248079925293,1.4276979600629112,0.8795145413709935,0.54317937008231,0.046886144658191076,0.44832546722019695,0.008681261526256544,270.05048602778754,0.640625
linear,8.010823685303475,3.795024488880316,0.008937062398672209,0.5997266768016662,0.9788391916190348,0.065562515942575,0.0014739338722484967,313.9226018386999,0.609375
linear,0.3697480884346277,2.488734238573945,0.7748165673249727,0.04320373270141098,0.013669721848991845,0.6070376748274958,0.0059346863451214356,242.9827550120954,0.609375
linear,0.2692080728788544,4.85102048162445,0.4759271034877516,0.40142546355283226,0.1835384364949012,0.579367413481549,0.0022508531710617235,215.54615786375712,0.59375
linear,0.3492662748432117,1.719945701393168,0.00530632608806037,0.48477174284688573,0.6687763091248784,0.22822149534584446,0.0013725132059277832,199.07418172057186,0.609375
linear,0.28852623764525875,1.2591433348197953,0.19024029601093592,0.5597111641179164,0.6986492374295263,0.8125878365590832,0.00019841859852008593,259.48487898615406,0.609375
linear,9.272891168825899,4.280769905503372,0.5302264029927227,0.06585550045003263,0.2163443141401783,0.05815455837388683,0.0017222477388134769,257.23377727819536,0.640625
linear,10.0,1.0,1.0,0.0,0.0,0.0,0.0015655675608350185,274.6014305323661,0.671875
linear,7.278322487909608,5.0,1.0,0.0,0.0,0.0,0.01,278.8425097946228,0.640625
linear,8.284119644054453,1.245584872201278,0.43102904578367107,0.02562535445177605,0.3679771965691008,0.6072910641190037,0.00734220590920022,268.0055510057407,0.625
linear,9.813036134482712,1.0122216905837838,0.6285475723291706,0.6462111522788906,0.6886874429543506,0.037410712678535685,0.0056396242391392095,282.5229329845504,0.671875
linear,2.062871778965174,1.0833098125303837,0.9165404644603419,0.4186943796969743,0.922755766954995,0.4684629035118012,0.0003746133262614929,279.5648916175486,0.640625
linear,8.678178549086455,1.0501943895062467,0.26740295759093863,0.9460446052270138,0.2544510511571044,0.6649838759354981,0.005782120121098151,277.7536126096408,0.625
linear,9.546815887007925,1.8505498945361967,0.3897910562690165,0.33656543584883636,0.9161490633856688,0.45627157974238886,0.008770436464249905,287.77610292477226,0.609375
linear,0.1,5.0,1.0,0.0,0.0,0.0,0.0033924609247376085,274.49797137263585,0.640625
linear,7.773614423937902,4.991900587236232,0.1354077442152455,0.5967518614434065,0.3482769154081756,0.29796226975562845,0.0020972817205368627,234.37920125268008,0.65625
linear,9.229450688036497,4.1420810479116525,0.487955624153838,0.1659990300847659,0.1336423831913024,0.16825376434141592,0.002314470429246581,272.9896632202522,0.625
linear,0.2051252784455408,4.499482899872023,0.22589128887972718,0.4261944212912475,0.22854048320292097,0.9383804098198592,0.006464481247995964,284.63031798063577,0.59375
linear,0.1,1.0,0.001,0.0,1.0,0.0,0.01,424.9065407375526,0.640625
linear,8.275188131603402,1.0,0.001,0.0,1.0,1.0,0.008121746298462509,425.61685161146795,0.59375
linear,8.829572083024484,1.172756031780735,0.528953934585883,0.622426691075229,0.24642210557812627,0.9304111011720728,0.008222124689917312,246.96792636154368,0.625
linear,4.623172401048001,4.440512125615898,0.25438994139374094,0.8615395809785241,0.9752363851357638,0.5655230933395389,0.009081377298040306,223.87818922355729,0.640625
linear,1.1179742582662056,4.950158690674799,0.2673205269026461,0.08655979688989612,0.8293803708639356,0.9268784716866226,0.0065002990937990945,231.40028781504938,0.640625
